x-axis,1,3;;x-axis;1.00000;3.00000
second,Volt,Volt;;second;Volt;Volt
-255.8000E-03,-9.5476E-03,-29.1455E-03;;-0.25580;-0.00955;-0.02915
-255.7000E-03,-9.5476E-03,-29.1455E-03;;-0.25570;-0.00955;-0.02915
-255.6000E-03,-9.5476E-03,+51.2565E-03;;-0.25560;-0.00955;0.05126
-255.5000E-03,-9.5476E-03,+11.0555E-03;;-0.25550;-0.00955;0.01106
-255.4000E-03,+30.6534E-03,-29.1455E-03;;-0.25540;0.03065;-0.02915
-255.3000E-03,+70.8544E-03,+51.2565E-03;;-0.25530;0.07085;0.05126
-255.2000E-03,+111.0554E-03,+51.2565E-03;;-0.25520;0.11106;0.05126
-255.1000E-03,+30.6534E-03,+51.2565E-03;;-0.25510;0.03065;0.05126
-255.0000E-03,-9.5476E-03,+51.2565E-03;;-0.25500;-0.00955;0.05126
-254.9000E-03,+30.6534E-03,-29.1455E-03;;-0.25490;0.03065;-0.02915
-254.8000E-03,+30.6534E-03,+11.0555E-03;;-0.25480;0.03065;0.01106
-254.7000E-03,+30.6534E-03,+51.2565E-03;;-0.25470;0.03065;0.05126
-254.6000E-03,-9.5476E-03,+51.2565E-03;;-0.25460;-0.00955;0.05126
-254.5000E-03,-49.7486E-03,+51.2565E-03;;-0.25450;-0.04975;0.05126
-254.4000E-03,-49.7486E-03,+51.2565E-03;;-0.25440;-0.04975;0.05126
-254.3000E-03,-49.7486E-03,+51.2565E-03;;-0.25430;-0.04975;0.05126
-254.2000E-03,-9.5476E-03,+51.2565E-03;;-0.25420;-0.00955;0.05126
-254.1000E-03,+30.6534E-03,+11.0555E-03;;-0.25410;0.03065;0.01106
-254.0000E-03,+30.6534E-03,+11.0555E-03;;-0.25400;0.03065;0.01106
-253.9000E-03,+30.6534E-03,+51.2565E-03;;-0.25390;0.03065;0.05126
-253.8000E-03,+30.6534E-03,+11.0555E-03;;-0.25380;0.03065;0.01106
-253.7000E-03,-9.5476E-03,+11.0555E-03;;-0.25370;-0.00955;0.01106
-253.6000E-03,+30.6534E-03,+51.2565E-03;;-0.25360;0.03065;0.05126
-253.5000E-03,+70.8544E-03,+91.4575E-03;;-0.25350;0.07085;0.09146
-253.4000E-03,+30.6534E-03,+51.2565E-03;;-0.25340;0.03065;0.05126
-253.3000E-03,+30.6534E-03,+51.2565E-03;;-0.25330;0.03065;0.05126
-253.2000E-03,-9.5476E-03,+11.0555E-03;;-0.25320;-0.00955;0.01106
-253.1000E-03,-9.5476E-03,-69.3465E-03;;-0.25310;-0.00955;-0.06935
-253.0000E-03,+70.8544E-03,-29.1455E-03;;-0.25300;0.07085;-0.02915
-252.9000E-03,+111.0554E-03,+11.0555E-03;;-0.25290;0.11106;0.01106
-252.8000E-03,+70.8544E-03,+51.2565E-03;;-0.25280;0.07085;0.05126
-252.7000E-03,+30.6534E-03,+91.4575E-03;;-0.25270;0.03065;0.09146
-252.6000E-03,+30.6534E-03,+51.2565E-03;;-0.25260;0.03065;0.05126
-252.5000E-03,+30.6534E-03,-29.1455E-03;;-0.25250;0.03065;-0.02915
-252.4000E-03,-9.5476E-03,+11.0555E-03;;-0.25240;-0.00955;0.01106
-252.3000E-03,+30.6534E-03,+51.2565E-03;;-0.25230;0.03065;0.05126
-252.2000E-03,+111.0554E-03,+11.0555E-03;;-0.25220;0.11106;0.01106
-252.1000E-03,+70.8544E-03,+11.0555E-03;;-0.25210;0.07085;0.01106
-252.0000E-03,-9.5476E-03,+51.2565E-03;;-0.25200;-0.00955;0.05126
-251.9000E-03,-9.5476E-03,+91.4575E-03;;-0.25190;-0.00955;0.09146
-251.8000E-03,+70.8544E-03,+51.2565E-03;;-0.25180;0.07085;0.05126
-251.7000E-03,+1.7592966E+00,+11.0555E-03;;-0.25170;1.75930;0.01106
-251.6000E-03,+3.3673368E+00,+51.2565E-03;;-0.25160;3.36734;0.05126
-251.5000E-03,+3.3271358E+00,+51.2565E-03;;-0.25150;3.32714;0.05126
-251.4000E-03,+3.3673368E+00,+11.0555E-03;;-0.25140;3.36734;0.01106
-251.3000E-03,+3.3271358E+00,-29.1455E-03;;-0.25130;3.32714;-0.02915
-251.2000E-03,+3.2869348E+00,-29.1455E-03;;-0.25120;3.28693;-0.02915
-251.1000E-03,+3.3271358E+00,+11.0555E-03;;-0.25110;3.32714;0.01106
-251.0000E-03,+3.3271358E+00,+11.0555E-03;;-0.25100;3.32714;0.01106
-250.9000E-03,+3.3271358E+00,+51.2565E-03;;-0.25090;3.32714;0.05126
-250.8000E-03,+3.3673368E+00,+51.2565E-03;;-0.25080;3.36734;0.05126
-250.7000E-03,+3.3673368E+00,+11.0555E-03;;-0.25070;3.36734;0.01106
